Date,Country,Estimated earnings (USD),Page views,Page RPM (USD),Impressions,Impression RPM (USD),Active View Viewable,Clicks,CTR,CPC (USD),Average Viewable Time,Page CTR,Ad request RPM (USD)
2026-02-06,美国,0.18,28,6.52,131,1.39,0.5191,0,0,,19.6044,0,1.01
2026-01-28,美国,0.16,37,4.38,129,1.26,0.5271,1,0.0078,0.16,18.5772,0.027,0.81
2026-01-29,美国,0.16,60,2.67,222,0.72,0.5092,1,0.0045,0.16,34.8906,0.0167,0.52
2026-01-27,美国,0.15,42,3.53,109,1.36,0.5138,1,0.0092,0.15,29.2055,0.0238,0.78
2026-01-14,美国,0.13,53,2.52,185,0.72,0.5978,2,0.0108,0.07,42.5503,0.0377,0.44
2026-01-31,美国,0.13,37,3.55,123,1.07,0.5935,0,0,,37.6084,0,0.70
2026-02-04,美国,0.13,37,3.53,157,0.83,0.6644,3,0.0191,0.04,31.5524,0.0811,0.57
2026-01-12,美国,0.12,42,2.94,144,0.86,0.5,1,0.0069,0.12,19.3302,0.0238,0.65
2026-02-01,美国,0.11,57,2.00,192,0.59,0.4684,0,0,,14.7859,0,0.38
2026-01-19,美国,0.10,35,2.76,83,1.17,0.6988,0,0,,42.1233,0,0.65
2026-01-23,美国,0.10,32,2.98,112,0.85,0.5268,0,0,,46.241,0,0.55
2026-02-03,美国,0.10,46,2.14,125,0.79,0.5702,1,0.008,0.10,16.3238,0.0217,0.41
2026-01-30,美国,0.09,40,2.13,116,0.73,0.4957,0,0,,27.9313,0,0.46
2026-02-06,英国,0.09,14,6.40,67,1.34,0.6567,2,0.0299,0.04,39.3295,0.1429,1.00
2026-01-13,美国,0.08,40,2.00,136,0.59,0.4779,1,0.0074,0.08,32.3042,0.025,0.34
2026-01-20,美国,0.08,38,2.20,118,0.71,0.4569,0,0,,51.9061,0,0.41
2026-01-25,美国,0.08,24,3.19,86,0.89,0.5581,0,0,,36.6172,0,0.64
2026-01-26,美国,0.08,21,3.90,77,1.06,0.5844,0,0,,52.5056,0,0.78
2026-02-07,美国,0.08,25,3.40,109,0.78,0.5413,0,0,,46.386,0,0.54
2026-01-13,英国,0.07,32,2.22,89,0.80,0.7753,0,0,,30.7414,0,0.34
2026-01-16,美国,0.07,50,1.33,127,0.52,0.6614,1,0.0079,0.07,35.2952,0.02,0.28
