Date,Url Clicks,Impressions
2026年1月1日,59,4762
2026年1月2日,64,6252
2026年1月3日,51,2732
2026年1月4日,67,3144
2026年1月5日,105,3550
2026年1月6日,100,4155
2026年1月7日,89,3051
2026年1月8日,74,4691
2026年1月9日,102,4732
2026年1月10日,57,3260
2026年1月11日,83,3583
2026年1月12日,133,3510
2026年1月13日,101,3508
2026年1月14日,108,3379
2026年1月15日,97,3553
2026年1月16日,92,3800
2026年1月17日,67,3403
2026年1月18日,97,3702
2026年1月19日,118,4525
2026年1月20日,116,4120
2026年1月21日,114,4925
2026年1月22日,121,4903
2026年1月23日,69,4185
2026年1月24日,74,4101
2026年1月25日,92,3925
2026年1月26日,149,5043
2026年1月27日,145,5118
2026年1月28日,140,5309
2026年1月29日,151,5332
2026年1月30日,120,5838
2026年1月31日,83,5058
2026年2月1日,94,6597
2026年2月2日,118,6401
2026年2月3日,151,5255
2026年2月4日,162,5087
2026年2月5日,138,5767
2026年2月6日,109,4915
2026年2月7日,94,5227
2026年2月8日,85,5034
2026年2月9日,139,7356
2026年2月10日,104,6591
2026年2月11日,111,5792
2026年2月12日,112,5334
2026年2月13日,70,4673
2026年2月14日,75,4478
2026年2月15日,77,4997
2026年2月16日,97,5061
2026年2月17日,120,5366
2026年2月18日,90,6067
2026年2月19日,74,6332
2026年2月20日,75,6116
2026年2月21日,71,6078
2026年2月22日,88,5905
2026年2月23日,126,6598
2026年2月24日,116,6887
2026年2月25日,141,7204
2026年2月26日,158,7268
2026年2月27日,144,7559
2026年2月28日,128,7077
2026年3月1日,96,7819
2026年3月2日,131,10091
2026年3月3日,154,10664
2026年3月4日,185,9628
2026年3月5日,189,9950
2026年3月6日,142,8970
2026年3月7日,115,8175
2026年3月8日,100,7705
2026年3月9日,171,8975
2026年3月10日,145,8391
2026年3月11日,197,9218
2026年3月12日,131,9717
2026年3月13日,157,8615
2026年3月14日,116,8236
2026年3月15日,149,8895
2026年3月16日,228,10612
2026年3月17日,211,11194
2026年3月18日,179,9231
2026年3月19日,119,8234
2026年3月20日,97,6441
2026年3月21日,51,4962
2026年3月22日,56,5291
2026年3月23日,99,5507
2026年3月24日,109,5272
2026年3月25日,111,5285
2026年3月26日,97,5106
2026年3月27日,60,4630
2026年3月28日,56,4403
2026年3月29日,69,3923
2026年3月30日,100,4831
2026年3月31日,111,4482
2026年4月1日,96,4003
2026年4月2日,86,4448
2026年4月3日,77,4733
2026年4月4日,67,4668
2026年4月5日,83,4767
2026年4月6日,112,6707
2026年4月7日,123,7361
2026年4月8日,132,6901
2026年4月9日,113,6120
2026年4月10日,87,6491
2026年4月11日,74,6158
2026年4月12日,100,6972
2026年4月13日,148,8803
2026年4月14日,120,8050
2026年4月15日,125,7659
2026年4月16日,135,8020
2026年4月17日,112,7104
2026年4月18日,69,6484
2026年4月19日,106,6568
2026年4月20日,129,7166
2026年4月21日,126,5883
2026年4月22日,133,6150
2026年4月23日,127,5894
2026年4月24日,105,5170
2026年4月25日,73,4492
2026年4月26日,90,4523
2026年4月27日,116,5571
